num_doc,wiki_text,viki_text
9,"Amb la conquesta musulmana de la península Ibèrica, el territori d'Extremadura va quedar integrat a Al-Àndalus.","Amb la unió dels regnes de Lleó i Castella en la Corona de Castella, Extremadura va ser reconeguda com a regió administrativa."
9,"Demografia La població d'Extremadura el 2006 era d'1.086.373 habitants , Càceres (90.218 hab), la conurbació Don Benito-Villanueva de la Serena (58.983 hab) i Mèrida (53.915). La població extremenya, segons el cens de 1591 de les províncies de la corona de Castella era a l'entorn de 540.000 habitants","La població d'Extremadura és de 1.092.997 habitants (1 de gener de 2015), font INE, per tant, representa el 2,36% de la població espanyola (46.745.807)."
9,Els 10 municipis més poblats dExtremadura (INE 2010) són:,Les deu ciutats més poblades d'Extremadura
9,Es tracta d'uns dels formatges extremenys més coneguts.,Es tracta d'un dels formatges més reconeguts d'Extremadura.
9,La Torta del Casar és un formatge espanyol amb DOP d'àmbit europeu pel Reglament (CE) 1491/2003 de la Comissió Europea.,La coca del Casar és un formatge espanyol amb denominació d'origen protegida d'àmbit europeu.
9,"La capital n'era Mèrida (capital actual de la comunitat autònoma), batejada amb el nom dEmerita Augusta, una de les ciutats més importants de l'Imperi Romà.","La capital de la província de Lusitania era Emerita Augusta, actual ciutat de Mèrida."
9,"La província romana de Lusitània, incloïa els territoris del sud de l'actual Portugal i del centre-oest de l'actual Espanya, i per tant, els territoris de l'actual Extremadura.",En l'època de la romanització la província de Lusitania acollia gran part d'Extremadura i Portugal central.
9,"Tanmateix, en restaurar-se el règim liberal, Extremadura va ser dividia en dos: l'Alta Extremadura i la Baixa Extremadura, que el 1822 van ser conegudes com les províncies de Càceres i Badajoz.","Extremadura reparteix el seu territori entre les conques hidrogràfiques del Tajo (Càceres) i la del Guadiana (Badajoz) i tres cadenes muntanyoses paral·leles: el sistema Central amb la serra de Gredos, la serra de Béjar on Extremadura aconsegueix la seva major altitud en el Calvitero amb 2405 m i la serra de Gata que la separen de l'altiplà nord castellana, les serres Centrals Extremenyes que formen part de les Muntanyes de Toledo i serra Morena que separa Extremadura d'Andalusia."
10,"Durant l'edat moderna i fins a la divisió territorial d'Espanya de 1833, Galícia va estar dividida en 7 províncies: la Corunya, Santiago, Betanzos, Mondoñedo, Lugo, Ourense i Tui.","El territori es va incorporar al regne de Lleó, que el 1230, amb Fernando III de Castella, va ser definitivament reunit amb el regne de Castella, a la Corona de Castella."
10,"El 137 aC els romans visitaven per primera vegada el territori castrexo, a través d'una expedició, al 61 o 60 aC Juli Cèsar arribà amb seu potent exèrcit a aquelles terres, i finalment l'any 26 aC, August aconseguirà el domini total de la Gal·lècia, que va quedar dividida en tres convents (conventus iuridici): Lucus Augusti, Asturica Augusta i Bracara Augusta.","El 137 aC els romans van visitar per primera vegada el territori castrexo i l'any 26 aC, August va aconseguir el domini total de la Gal·lècia,"
10,"Galícia va passar a mans de Garcia I de Galícia. El 1072 va ser forçat a annexionar-se, i va romandre com a part del regne de Castella i Lleó, encara que amb un grau important d'autonomia. L'últim episodi de la independència gallega va ser el conflicte dinàstic entre Isabel de Castella i Joana la Beltraneja (Xoana a Beltranexa).","El rei Alfons VI de Lleó i Castella va ser l'últim rei de Galícia, i va governar el regne de Galícia fins a la seva mort en 1109."
10,"La característica més peculiar d'aquesta cultura són els assentaments anomenats castros, els quals són poblacions murallades, on predominen les formes circulars i situades de manera estratègica en llocs fàcils de defensar.","Els castros són poblacions emmurallades, on predominen les formes circulars i situades de manera estratègica en llocs fàcils de defensar."
12,"Ceuta () és una ciutat d'Espanya, situada a l'Àfrica i reconeguda com a ciutat autònoma des del 1995.","Ceuta és una ciutat autònoma d'Espanya, és a dir, una ciutat que funciona quasi com si fos una comunitat autònoma."
12,La ciutat antiga és situada al centre de l'istme que uneix la península del Monte Hacho i el continent i s'ha estès al voltant d'una àmplia badia.,La part antiga de la ciutat està situada a l'istme que uneix la península del Monte Hacho amb Àfrica.
12,"La màxima autoritat política n'és l'Alcalde-President, representat des de 2007 per Juan Jesús Vivas, del PP.",La persona amb més poder polític de la Ciutat és l'Alcalde-President.
13,"A diferència de les comunitats autònomes, no té una assemblea legislativa autònoma pròpia.","La diferència és que no té un parlament propi, com la resta de comunitats autònomes."
13,"Melilla (, o, en la pronunciació actual i local, Mlila; en amazic Tamlilt; Rusadir) és una ciutat autònoma d'Espanya situada al nord d'Àfrica. És un enclavament de sobirania espanyola.","Melilla és una ciutat autònoma d'Espanya, és a dir, una ciutat que funciona quasi com si fos una comunitat autònoma."
14,"Un polític és una persona que es dedica a activitats polítiques, és a dir, tot el que representa l'adquisició, el manteniment i la gestió del poder en institucions o àmbits públics.",Polític Un polític és una persona que pren decisions per fer que un estat o una administració funcioni correctament.
15,"Està unit a l'Àsia per l'istme de Suez i l'envolta l'oceà Índic a l'est, l'oceà Atlàntic a l'oest i la mar Mediterrània, que la separa d'Europa, al nord.","Està envoltat de l'oceà Atlànic, l'oceà Índic i el Mar Mediterrani."
15,"LÀfrica és un dels cinc continents, el tercer més gran del món.",Àfrica és el tercer continent més gran del món.
15,"Àfrica, particularment el centre d'Àfrica oriental, és àmpliament considerada per la comunitat científica com l'origen dels humans i del grup dels homínids (grans simis), com ho demostra el descobriment dels primers homínids i els seus avantpassats, així com formes posteriors que han estat datades de fa aproximadament set milions d'anys, incloent-hi Sahelanthropus tchadensis, Australopithecus africanus, A. afarensis, Homo erectus, H. habilis i H. ergaster, i el primer Homo sapiens (humà), descobert a Etiòpia, data de fa uns 200.000 anys.","Segons els científics els humans vam començar a viure al centre d'Àfrica, perquè es va trobar un esquelet d'home de fa 200.000 anys a Etiòpia."
16,"Al , els romanesos van adoptar l'alfabet llatí; l'Església fins al hi feia servir l'alfabet ciríl·lic.",Va ser inventat pels romans i el feien servir per escriure en llatí.
16,"L'alfabet llatí es va imposar en moltes llengües austronèsies com ara el tagal i altres idiomes de les Filipines, el malai i l'indonesi, on va reemplaçar els anteriors alfabets àrab i brāhmī.","Com que els romans van conquerir Europa durant molt de temps, ara l'alfabet llatí es fa servir per escriure moltes llengües, com el català."
16,L'alfabet utilitzat pels romans comprenia únicament les lletres majúscules.,L'alfabet llatí és l'alfabet que fan servir la majoria d'idiomes.
17,Estructura Tots els organismes consisteixen en unitats monomèriques anomenades cèl·lules; alguns contenen una única cèl·lula (organismes unicel·lulars) i altres contenen dues o més d'aquestes unitats (organismes pluricel·lulars).,"Malgrat aquesta enorme diversitat (anomenada biodiversitat), tots els organismes comparteixen característiques úniques, que han fet creure als científics que tots són descendents d'un ancestre comú: tots estan fets de cèl·lules, alguns en tenen milers de mil·lions, i d'altres només en tenen una."
17,Segons la localització i l'organització de l'ADN es distingeixen dos tipus de cèl·lules:,"Hi ha molts tipus d'organismes, tants que s'han classificat en diferents grups:"
17,Tots els organismes estan constituïts per cèl·lules.,Un organisme és un ésser viu.
19,"El continent es pot dividir en quatre regions: Europa de l'Est, Europa del Nord, Europa del Sud i Europa Occidental. El clima d'Europa és de naturalesa temperada i continental amb un clima marítim que predomina a les costes occidentals i un clima mediterrani al sud.","Es troba limitada per l'Oceà Atlàntic amb el oest, el oceà Àrtic amb el nord, el mar Mediterrani i el Mar Negre Sud."
19,Europa és una part de l'antic supercontinent Pangea.,Europa és un continent.
20,"* Campanyes de Cèsar i d'August per sotmetre els galaics, asturs i càntabres.","Campanyes de Cèsar i d'August per sotmetre els galaics, asturs i càntabres."
20,* Finalment arriba la pax augusta.,Finalment arriba la pax augusta.
20,Estrabó dedica el Llibre III a la península Ibèrica.,» - Polibi Estrabó dedica el Llibre III a la península Ibèrica.
20,"Polibi, un historiador grec del que va viure un temps a la península, escriu:","Polibi, un historiador grec del segle II aC que va viure un temps a la península, escriu:"
20,"Pompeu Troge construeix tota una imatge sobre els seus habitants afirmant que els hispans tenien preparat el cos per l'abstinència i la fatiga, i l'ànim per a la mort: dura i austera sobrietat en tot.","« Alguns diuen que les designacions d'Ibèria i d'Hispània són sinònimes, que els romans han designat a la regió sencera (la península) indiferentment amb els noms d'Ibèria i Hispània, i a les seves parts les han anomenat ulterior i citerior » - Estrabó, llibre III de Geografia Pompeu Troge construeix tota una imatge sobre els seus habitants afirmant que els hispans tenien preparat el cos per l'abstinència i la fatiga, i l'ànim per a la mort: dura i austera sobrietat en tot."
20,"Toponímia El nom prové del riu Íber, probablement l'actual Ebre, encara que també podria ser un altre riu de la província de Huelva, ja que textos molt antics citen un riu Iberus i un poble al qual anomenen iberus.","Història geològica 6 Ciutats principals 7 Aeroports principals 8 Història 8.1 Prehistòria 8.2 Edat Antiga 9 Articles relacionats 10 Notes i referències Toponímia El nom prové del riu Íber, probablement l'actual Ebre, encara que també podria ser un altre riu de la província de Huelva, ja que textos molt antics citen un riu Iberus i un poble al qual anomenen iberus."
21,"L'anglès modern, que a vegades és descrit com la primera lingua franca global, els negocis, la navegació, l'aviació, l'espectacle, la ràdio i la diplomàcia.",L'anglès és la llengua més parlada del món.
21,L'anglès presenta molts dels trets típics de les llengües europees.,És una llengua oficial de la Unió Europea.
21,L'anglès és el tercer idioma amb més parlants nadius (entre 300 i 400 milions de persones) i el segon més parlat del món després del xinès.,"És la llengua materna més parlada al món, després del xinès mandarí i l'espanyol."
21,Uns 200 milions de persones el parlen com a segona llengua.,Però hi ha moltes altres persones que l'aprenen com a segona llengua.
22,"La Unió Europea ha desenvolupat un mercat únic mitjançant un sistema de lleis estandarditzades vigents en tots els estats membres i que garanteixen les quatre llibertats de la Unió: la llibertat de moviment de les persones, dels béns, dels serveis i del capital.",La principal característica de la Unió Europea són les quatre llibertats:
22,"Les especials relacions econòmiques es fonamenten en la llibertat de trànsit de mercaderies, treballadors i capitals, així com en l'establiment d'una moneda única, l'euro (€) per tots els estats membres (la denominada Eurozona).","Lliure circulació de capital: gràcies a la creació de l'euro, la moneda de la Unió Europea, fa que sigui més fàcil comparar els preus entre dos països."
23,"Bèlgica (België en neerlandès, Belgique en francès, Belgien en alemany), oficialment el Regne de Bèlgica (Koninkrijk België en neerlandès, Royaume de Belgique en francès, Königreich Belgien en alemany) és un estat de l'Europa occidental. Situat sobre la frontera cultural entre l'Europa germànica i l'Europa llatina, Bèlgica és la llar de dos grups culturals principals: els flamencs (58% de la població) a Flandes, al nord, i els francoparlants o valons (32%) a Valònia, al sud.","Els seus habitants són belgues , la seva capital és Brussel·les i es parlen tres idiomes oficials: francès a Valònia, Holandès a Flandes i alemany a la comunitat de parla alemanya de Bèlgica."
23,"La regió de Brussel·les-Capital, tot i que és oficialment bilingüe, és un enclavament majoritàriament francòfon dins de Flandes, i agrupa el 10% de la població.","La regió de Brussel·les-Capital és oficialment bilingüe, però és un enclavament predominantment francòfon a la regió flamenca."
24,"El clima és el conjunt de condicions mitjanes del temps meteorològic a llarg termini, que generalment es calculen sobre un període de 30 anys.",Clima El clima són les condicions de l'atmosfera en un lloc determinat.
24,"Els factors que influeixen en el clima de cada regió són la latitud, el terreny i l'altitud, així com les eventuals masses d'aigua pròximes i els seus corrents. En termes més generals, el «clima» d'una regió és l'estat general del seu sistema climàtic en el moment actual. Els climes es poden classificar segons els valors mitjans i intervals típics de les diverses variables, que generalment són la temperatura i la precipitació.","Normalment, el clima canvia depenent del lloc on està el país: l'altitud, la distància amb el mar..."
24,"Entre les variables meteorològiques que se solen mesurar hi ha la temperatura de l'aire, la humitat relativa de l'aire, la pressió atmosfèrica, el vent i la precipitació.","Dins del clima hi ha la temperatura, la humitat, la pressió, el vent, la pluja i la neu..."
24,"Hi ha una sèrie de variables que es mantenen gairebé constants al llarg de la història i determinen el clima, incloent-hi la latitud, l'altitud, la proporció de terra i aigua i la proximitat als oceans i les muntanyes.","Es mesura mirant els canvis de tempartura, humitat, carrega atmosfèrica, vent, precipitació i altres variables meteorològiques en una regió donada en periodes de llargs temps."
24,"La climatologia és la ciència que estudia els climes i els fenòmens atmosfèrics d’un país, a una latitud i a una altitud determinades.","El clima es l'estadística del temps atmosfèric, aixó vol dir estudiar el temps que fa a un lloc duarant un tepsi treure'n conclusions."
24,"Se sol definir com el conjunt de condicions mitjanes del temps meteorològic a llarg termini. El període d'observacions estàndard és de 30 anys, però se'n poden utilitzar d'altres segons l'objectiu que es persegueixi.","El temps habitual per fer la mitjana d'aquestes variables és de 30 anys, segons defineix l'OrganitzacioMeteorologicaMundial."
26,"* El filòleg i lingüista Joan Coromines s'hi establí i hi visqué des de 1967 fins a la seva mort, escrivint bona part de la seva obra a Pineda.","Joan Coromines s'hi establí i hi visqué des de 1967 fins a la seva mort, escrivint bona part de la seva obra a Pineda."
26,"A partir del , un cop acabada la guerra de Successió el 1714, Pineda, com tota la resta del país, assoleix un notable creixement demogràfic.","A partir del segle XVIII, un cop acabada la guerra de Successió el 1714, Pineda comença a créixer."
26,"A partir del apareix en la documentació el castell de Montpalau que, juntament amb el de Palafolls, es repartia la jurisdicció de tot l'Alt Maresme.",A partir del segle XI apareix el castell de Montpalau.
26,"Després de l'ocupació àrab, a partir del , el terme de Pineda formava part d'una gran demarcació que anava des de la Tordera a Caldetes.","Després de l'ocupació àrab, a partir del segle IX, el terme de Pineda formava part d'una gran demarcació que anava des de la Tordera a Caldetes."
26,Diversos vestigis d'època ibèrica (segle IV aC) trobats a diferents indrets del municipi de Pineda (al turó de Montpalau i prop del Mas Castellar) testimonien el poblament del terme des d'èpoques ben remotes.,"Pineda té diverses restes d'època ibèrica (segle IV aC), al turó de Montpalau i prop del Mas Castella, que signifiquen que Pineda ha estat habitada des de fa molts anys."
26,"Durant aquella època no existia encara un nucli agrupat de poblament, només alguns masos dispersos al sector interior del terme.","Durant aquella època no existia encara un poble, només algunes masies disperses."
26,"El creixement de Pineda continuarà lentament durant el , quan s'edificarà l'actual plaça de Catalunya i un tram del camí del Mar, obert poc abans de començar la centúria.","El creixement de Pineda va continuar lentament durant el segle XVI, quan es va edificar l'actual plaça de Catalunya i un tram del camí del Mar."
26,"Els assentaments ibèrics són força nombrosos a tot el Maresme, poblat per la tribu dels laietans, el territori de la qual ocupava tota la franja litoral des del Llobregat fins a la Tordera; els seus habitants se situaven en petits promontoris allunyats de la costa.","Els poblats ibèrics són força nombrosos a tot el Maresme, especialment el dels laietans."
26,"Els boscos i la vegetació de la ribera de la riera de Pineda eren molt extensos abans que intervingués l'home, podien arribar a ocupar uns 15 metres a banda i banda, ara només queden les restes d'aquesta vegetació.","Els boscos de la riera de Pineda eren molt extensos abans i podien arribar a ocupar uns 15 metres a banda i banda, ara només queden les restes d'aquesta vegetació."
26,"En aquella època hi havia molts atacs de pirates i corsaris turcs i barbarescs a les poblacions de la costa del Maresme, que van motivar la construcció de nombroses torres de guaita i defensa, com la torre de Sant Jaume, així com la fortificació de l'església parroquial, construïda de bell nou pocs anys abans.",En aquella època hi havia molts atacs de pirates al Maresme.
26,"Es troba arran de mar entre Calella i Santa Susanna, cap a l'interior limita amb el municipi de Tordera.",Es troba arran de mar entre Calella i Santa Susanna.
26,L'1 de gener del 2018 tenia 28.157 habitants.,L'1 de gener del 2013 tenia 26.157 habitants.
26,"Les terres de Montpalau, en bona part despoblades, ocupaven un extens territori que comprenia les parròquies d'Arenys, Sant Iscle i Sant Cebrià de Vallalta, Hortsavinyà, Vallmanya i una gran part de Sant Pere de Riu i de Santa Maria de Pineda.","Les terres de Montpalau, en bona part despoblades, ocupaven un extens territori que anava d'Arenys fins a Tordera."
26,"Pel que fa a la parròquia de Pineda, que aleshores comprenia el que avui són Calella i Santa Susanna, sabem que l'església de Santa Maria va ser consagrada el 1079.",L'església de Santa Maria va ser consagrada el 1079.
26,Pineda de Mar és una vila i municipi de la comarca del Maresme.,Pineda de Mar és un municipi del Maresme.
29,El llatí era una llengua itàlica en què la majoria d'elements gramaticals i la major part del lèxic provenien de l'evolució natural de dialectes i parles indoeuropees.,Molts dels idiomes d'Europa venen del llatí.
29,"El llatí va continuar sent una assignatura rellevant en la majoria dels plans d'estudi occidentals, en què es manté, per raons culturals, per augmentar la consciència lingüística dels alumnes i fer-los usar la lògica.","Tot i així, el llatí s'aprèn a les escoles perquè és un idioma molt important."
29,"Les llengües romàniques van anar apareixent progressivament, i el llatí seguia sent utilitzat com a llengua franca i culta.",El llatí és un idioma antic que parlaven els romans.
31,"La llengua de signes és una llengua natural de les persones sordes, gràcies a la qual poden establir un canal d'informació bàsica per a la relació amb el seu entorn social.",Una llengua de signes és la llengua natural de les persones sordes.
31,"Mentre que, amb el llenguatge oral, la comunicació s'estableix mitjançant un canal auditiu, la llengua de signes ho fa per un canal visual i espacial.","La diferència entre una llengua oral i una llengua de signes és que, en les llengües de signes, s'utilitzen les mans per transmetre missatges i els ulls per rebre'ls (en les llengües orals s'utilitzen els sons per transmetre'ls i l'oïda per rebre'ls)."
32,"El terme ""llenguatge animal"" s'utilitza sovint per als sistemes de comunicació d'animals no humans.",El llenguatge (també es pot dir llengua o idioma) és el que fan servir les persones per comunicar-se.
32,"Molts autors coincideixen a assenyalar que els components verbals sumen menys del 7% del significat social de la situació, mentre que més del 90% del significat social queda del costat de la comunicació no verbal.","Hi ha més de 7000 llenguatges a tot el món, però la meitat no fan servir un alfabet."
33,L'àrab clàssic presenta més formes de paraules que els dialectes àrabs locals.,"Hi ha molts dialectes de l'àrab: l'àrab estàndard, l'àrab egipci, àrab magrebí i molts altres."
33,"És una llengua semítica, com l'hebreu, l'arameu, l'accadi o el sirià.","L'àrab és una llengua semítica, com l'hebreu."
